Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 35.00      0.07     0.07      476     0.15     0.24  GroveRenderer::render(int, glm::mat<4, 4, float, (glm::qualifier)0>, glm::vec<3, float, (glm::qualifier)0>, glm::vec<2, float, (glm::qualifier)0>)
 15.00      0.10     0.03   160801     0.00     0.00  f_perlin(float, float)
 15.00      0.13     0.03     1428     0.02     0.02  BillboardCloudRenderer::render(std::vector<unsigned int, std::allocator<unsigned int> >&, glm::mat<4, 4, float, (glm::qualifier)0>&, glm::vec<3, float, (glm::qualifier)0>, glm::vec<2, float, (glm::qualifier)0>, glm::vec<4, float, (glm::qualifier)0>)
 10.00      0.15     0.02     1950     0.01     0.01  Uniform::Uniform(double, double, int)
  5.00      0.16     0.01    26244     0.00     0.00  Field_2d::get_grad(int, int)
  5.00      0.17     0.01     3589     0.00     0.00  TextureManager::get(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)
  5.00      0.18     0.01      261     0.04     0.04  Normal::Normal(double, double, int)
  5.00      0.19     0.01       54     0.19     0.19  Shader::link()
  2.50      0.20     0.01      476     0.01     0.01  ImpostorRenderer::render(std::vector<unsigned int, std::allocator<unsigned int> >&, glm::mat<4, 4, float, (glm::qualifier)0>&, glm::vec<3, float, (glm::qualifier)0>, glm::vec<2, float, (glm::qualifier)0>, glm::vec<4, float, (glm::qualifier)0>)
  2.50      0.20     0.01        3     1.67     1.67  std::_Function_handler<void (Model*), ImpostorRenderer::ImpostorRenderer(ImpostorsData*)::{lambda(Model*)#1}>::_M_invoke(std::_Any_data const&, Model*&&)
  0.00      0.20     0.00    71754     0.00     0.00  unsigned int& std::vector<unsigned int, std::allocator<unsigned int> >::emplace_back<unsigned int>(unsigned int&&)
  0.00      0.20     0.00    37532     0.00     0.00  double& std::vector<double, std::allocator<double> >::emplace_back<double>(double&&)
