Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
 22.31      0.89     0.89    17165     0.00     0.00  LightVoxelsCube::set_occluder_pyramid2(glm::vec<3, float, (glm::qualifier)0>, float, float, int)
 18.05      1.61     0.72        1     0.72     2.08  SceneGenerator::generate_grove()
 13.53      2.15     0.54        5     0.11     0.14  LightVoxelsCube::add_body(Body*, float, bool, float, float)
  9.15      2.52     0.37 49888298     0.00     0.00  RawTreesDatabase::pack_ready(GrovePacker&, SceneGenerator::SceneGenerationContext&, bool)
  8.02      2.84     0.32   641601     0.00     0.00  f_perlin(float, float)
  5.76      3.07     0.23 48989899     0.00     0.00  void std::lock<std::mutex, std::mutex>(std::mutex&, std::mutex&)
  5.01      3.27     0.20        1     0.20     0.20  LightVoxelsCube::LightVoxelsCube(LightVoxelsCube*, glm::vec<3, int, (glm::qualifier)0>, glm::vec<3, int, (glm::qualifier)0>, int, glm::vec<2, float, (glm::qualifier)0>)
  4.76      3.46     0.19        2     0.10     0.10  stbi_zlib_compress
  3.51      3.60     0.14 266556831     0.00     0.00  Box::in_body(glm::vec<3, float, (glm::qualifier)0>)
  1.00      3.64     0.04   184689     0.00     0.00  Visualizer::seg_vertexes_to_model(SegmentVertexes&, Model*, glm::vec<2, float, (glm::qualifier)0>)
  1.00      3.68     0.04    20532     0.00     0.00  Octree::Node::apply_to_neighbours_sphere(AABB&, float, glm::vec<3, float, (glm::qualifier)0>&, std::function<void (glm::vec<3, float, (glm::qualifier)0>&)>)
  0.75      3.71     0.03  3037357     0.00     0.00  urand(double, double)
  0.50      3.73     0.02   236960     0.00     0.00  Visualizer::get_ring(glm::vec<3, float, (glm::qualifier)0>&, glm::vec<3, float, (glm::qualifier)0>&, float, SegmentVertexes&, int, float, std::vector<float, std::allocator<float> >&, glm::vec<3, float, (glm::qualifier)0>)
  0.50      3.75     0.02    30720     0.00     0.00  stbiw__encode_png_line(unsigned char*, int, int, int, int, int, int, signed char*)
  0.50      3.77     0.02      720     0.00     0.00  Visualizer::recursive_branch_to_model(Branch&, Model*, bool, float, int, int)
  0.50      3.79     0.02       24     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  0.38      3.80     0.02        1     0.02     0.02  RawTreesDatabase::generation_finished(RawTreesDatabase::TreeToken&)
  0.25      3.81     0.01  2119482     0.00     0.00  stbiw__zlib_flushf(unsigned char*, unsigned int*, int*)
  0.25      3.82     0.01   966294     0.00     0.00  std::_Function_handler<void (glm::vec<3, float, (glm::qualifier)0>&), GETreeGenerator::SpaceColonizationData::find_best_pos(LightVoxelsCube&, float, glm::vec<3, float, (glm::qualifier)0>, glm::vec<3, float, (glm::qualifier)0>, float, glm::vec<3, float, (glm::qualifier)0>&, float&)::{lambda(glm::vec<3, float, (glm::qualifier)0>&)#1}>::_M_invoke(std::_Any_data const&, glm::vec<3, float, (glm::qualifier)0>&)
  0.25      3.83     0.01   893628     0.00     0.00  Branch::get_r_mult(float, std::vector<float, std::allocator<float> >&)
  0.25      3.84     0.01   652396     0.00     0.00  void std::vector<VertexData, std::allocator<VertexData> >::_M_realloc_insert<VertexData const&>(__gnu_cxx::__normal_iterator<VertexData*, std::vector<VertexData, std::allocator<VertexData> > >, VertexData const&)
  0.25      3.85     0.01   265232     0.00     0.00  Field_2d::get_bilinear(glm::vec<3, float, (glm::qualifier)0>)
  0.25      3.86     0.01   127452     0.00     0.00  void std::vector<SegmentVertexes, std::allocator<SegmentVertexes> >::_M_realloc_insert<SegmentVertexes const&>(__gnu_cxx::__normal_iterator<SegmentVertexes*, std::vector<SegmentVertexes, std::allocator<SegmentVertexes> > >, SegmentVertexes const&)
  0.25      3.87     0.01   109151     0.00     0.00  Barycentric(glm::vec<3, float, (glm::qualifier)0>, glm::vec<3, float, (glm::qualifier)0>, glm::vec<3, float, (glm::qualifier)0>, glm::vec<3, float, (glm::qualifier)0>)
  0.25      3.88     0.01   107702     0.00     0.00  Heightmap::get_height(glm::vec<3, float, (glm::qualifier)0>)
  0.25      3.89     0.01    33650     0.00     0.00  Octree::Node::subdivide_half()
  0.25      3.90     0.01    14521     0.00     0.00  Octree::Node::remove_in_sphere(AABB&, float, glm::vec<3, float, (glm::qualifier)0>&)
  0.25      3.91     0.01      233     0.00     0.00  BillboardCloudRaw::update_bbox(Branch*, glm::mat<4, 4, float, (glm::qualifier)0>&, glm::vec<4, float, (glm::qualifier)0>&, glm::vec<4, float, (glm::qualifier)0>&)
  0.25      3.92     0.01       94     0.00     0.00  Branch::deep_copy(Branch const*, BranchHeap&, LeafHeap*)
